agent,episode,episode_reward,steps_to_first_ce,steps_to_first_ue,sim_seconds_to_first_ce,sim_seconds_to_first_ue,max_ce_step,total_ce,total_ue,ue_found,coverage,unique_actions,mean_entropy,simulated_seconds
random,0,36.66999999999999,5,65,330.0,7830.0,2,13,0,0,7,62,7.60887062919126,7830.0
random,1,32.65999999999999,6,65,630.0,9090.0,2,10,0,0,4,63,7.60887062919126,9090.0
random,2,128.10999999999999,7,59,660.0,7140.0,2,6,1,1,3,58,7.608870629191259,7140.0
random,3,30.310000000000002,18,65,2820.0,9690.0,1,8,0,0,4,64,7.60887062919126,9690.0
random,4,33.34,4,65,570.0,9660.0,2,11,0,0,5,64,7.60887062919126,9660.0
random,5,34.289999999999985,14,65,2010.0,9210.0,2,12,0,0,4,62,7.60887062919126,9210.0
random,6,33.19999999999999,29,65,3300.0,7800.0,2,9,0,0,6,64,7.60887062919126,7800.0
random,7,36.039999999999985,24,65,3360.0,6960.0,3,11,0,0,4,64,7.60887062919126,6960.0
random,8,35.46999999999999,6,65,570.0,8280.0,4,12,0,0,4,63,7.60887062919126,8280.0
random,9,35.01999999999999,1,65,120.0,6480.0,1,10,0,0,5,63,7.60887062919126,6480.0
random,10,28.799999999999997,32,65,4560.0,7950.0,1,5,0,0,4,63,7.60887062919126,7950.0
random,11,123.37,5,39,840.0,5130.0,1,9,1,1,4,39,7.608870629191258,5130.0
random,12,124.63,21,59,2880.0,8370.0,1,4,1,1,3,58,7.608870629191259,8370.0
random,13,30.48,28,65,3600.0,8520.0,1,7,0,0,5,64,7.60887062919126,8520.0
random,14,28.799999999999983,16,65,2520.0,7950.0,2,5,0,0,3,64,7.60887062919126,7950.0
random,15,116.92999999999999,1,36,300.0,5820.0,2,5,1,1,4,36,7.608870629191259,5820.0
random,16,27.88999999999999,4,65,840.0,7860.0,1,4,0,0,3,63,7.60887062919126,7860.0
random,17,28.41999999999998,17,65,2520.0,10080.0,2,7,0,0,3,63,7.60887062919126,10080.0
random,18,26.73999999999999,2,65,420.0,8010.0,1,4,0,0,1,61,7.60887062919126,8010.0
random,19,38.9,1,65,300.0,8850.0,2,16,0,0,6,63,7.60887062919126,8850.0
random,20,35.77999999999998,5,65,780.0,8970.0,5,14,0,0,6,61,7.60887062919126,8970.0
random,21,28.229999999999986,3,65,270.0,7020.0,1,4,0,0,3,63,7.60887062919126,7020.0
random,22,123.33,2,41,150.0,4920.0,3,8,1,1,2,41,7.60887062919126,4920.0
random,23,28.019999999999982,3,65,270.0,7980.0,1,5,0,0,4,64,7.60887062919126,7980.0
random,24,30.939999999999994,7,65,990.0,8310.0,2,8,0,0,3,64,7.60887062919126,8310.0
random,25,29.879999999999985,25,65,3720.0,10620.0,2,9,0,0,4,64,7.60887062919126,10620.0
random,26,129.32999999999998,36,64,4440.0,7920.0,2,6,1,1,4,62,7.60887062919126,7920.0
random,27,28.129999999999995,19,65,2970.0,8370.0,1,6,0,0,4,63,7.60887062919126,8370.0
random,28,26.039999999999992,27,65,3660.0,8460.0,1,3,0,0,3,64,7.60887062919126,8460.0
random,29,114.62,4,41,1020.0,6630.0,1,2,1,1,1,40,7.60887062919126,6630.0
random,30,24.989999999999988,2,65,600.0,8760.0,2,4,0,0,3,61,7.60887062919126,8760.0
random,31,26.98999999999999,8,65,1440.0,8760.0,1,5,0,0,3,63,7.60887062919126,8760.0
random,32,132.13,12,56,1650.0,7620.0,3,13,1,1,5,55,7.60887062919126,7620.0
random,33,24.599999999999984,10,65,1650.0,9150.0,1,4,0,0,3,59,7.60887062919126,9150.0
random,34,35.85999999999997,10,65,540.0,7890.0,3,13,0,0,5,60,7.60887062919126,7890.0
random,35,29.36999999999999,8,65,750.0,7380.0,1,7,0,0,5,62,7.60887062919126,7380.0
random,36,118.16,8,35,780.0,3840.0,1,5,1,1,2,35,7.608870629191259,3840.0
random,37,31.219999999999995,7,65,630.0,7530.0,1,9,0,0,2,64,7.60887062919126,7530.0
random,38,29.339999999999993,37,65,4680.0,8160.0,3,8,0,0,4,62,7.60887062919126,8160.0
random,39,24.009999999999998,41,65,4770.0,7740.0,1,3,0,0,2,59,7.60887062919126,7740.0
random,40,121.0,16,55,2340.0,8250.0,1,5,1,1,2,54,7.608870629191258,8250.0
random,41,29.089999999999986,17,65,3180.0,8910.0,2,8,0,0,3,64,7.60887062919126,8910.0
random,42,109.04,19,25,2910.0,3960.0,1,1,1,1,1,25,7.6088706291912604,3960.0
random,43,112.61,8,26,720.0,3390.0,1,4,1,1,3,26,7.6088706291912604,3390.0
random,44,27.53,9,65,690.0,8220.0,1,5,0,0,3,64,7.60887062919126,8220.0
random,45,109.91999999999999,5,22,690.0,2580.0,1,3,1,1,3,22,7.608870629191262,2580.0
random,46,25.099999999999998,20,65,2490.0,8400.0,2,6,0,0,4,63,7.60887062919126,8400.0
random,47,27.399999999999984,15,65,1380.0,8100.0,1,6,0,0,5,62,7.60887062919126,8100.0
random,48,27.76999999999999,17,65,2430.0,7230.0,1,5,0,0,5,63,7.60887062919126,7230.0
random,49,27.999999999999986,18,65,2370.0,7500.0,1,6,0,0,4,64,7.60887062919126,7500.0
random,50,121.34,31,47,4260.0,5910.0,3,5,1,1,1,47,7.608870629191258,5910.0
random,51,124.46999999999998,2,44,420.0,6030.0,2,10,1,1,3,44,7.608870629191259,6030.0
random,52,126.17999999999998,11,51,810.0,5070.0,2,9,1,1,5,50,7.608870629191259,5070.0
random,53,115.44,1,34,300.0,3810.0,1,3,1,1,2,34,7.60887062919126,3810.0
random,54,32.28999999999999,6,65,780.0,6210.0,2,11,0,0,6,63,7.60887062919126,6210.0
random,55,124.22999999999999,9,50,810.0,5520.0,1,7,1,1,5,49,7.60887062919126,5520.0
random,56,26.649999999999988,3,65,360.0,8850.0,2,7,0,0,4,63,7.60887062919126,8850.0
random,57,113.31,31,38,3390.0,4440.0,2,2,1,1,1,38,7.608870629191258,4440.0
random,58,108.08,3,17,210.0,1920.0,1,2,1,1,2,17,7.60887062919126,1920.0
random,59,117.36,10,35,1410.0,4140.0,2,5,1,1,2,35,7.608870629191259,4140.0
random,60,121.88999999999999,27,63,3000.0,7860.0,1,2,1,1,2,63,7.608870629191258,7860.0
random,61,29.39999999999999,8,65,1230.0,8100.0,1,9,0,0,4,61,7.60887062919126,8100.0
random,62,23.319999999999993,18,65,2070.0,8430.0,1,5,0,0,4,62,7.60887062919126,8430.0
random,63,23.259999999999994,3,65,360.0,7740.0,1,3,0,0,3,64,7.60887062919126,7740.0
random,64,21.970000000000002,8,65,780.0,7530.0,1,3,0,0,2,64,7.60887062919126,7530.0
random,65,116.74000000000001,2,33,120.0,5010.0,2,7,1,1,3,33,7.60887062919126,5010.0
random,66,20.369999999999997,17,65,2880.0,9630.0,1,4,0,0,4,63,7.60887062919126,9630.0
random,67,23.759999999999984,11,65,1980.0,10740.0,2,9,0,0,5,60,7.60887062919126,10740.0
random,68,110.31,10,24,1260.0,3690.0,2,4,1,1,1,23,7.60887062919126,3690.0
random,69,119.16,12,40,1290.0,4590.0,2,7,1,1,3,40,7.6088706291912604,4590.0
random,70,31.129999999999992,3,65,720.0,8370.0,2,12,0,0,6,63,7.60887062919126,8370.0
random,71,25.469999999999985,1,65,60.0,8280.0,2,8,0,0,4,63,7.60887062919126,8280.0
random,72,22.929999999999993,11,65,1830.0,8070.0,1,6,0,0,5,64,7.60887062919126,8070.0
random,73,29.149999999999988,2,65,150.0,8100.0,2,11,0,0,5,64,7.60887062919126,8100.0
random,74,109.13,22,24,2310.0,2370.0,1,1,1,1,1,24,7.60887062919126,2370.0
random,75,122.48,13,46,1680.0,5520.0,1,8,1,1,3,46,7.608870629191258,5520.0
random,76,21.83999999999999,42,65,5040.0,7410.0,2,3,0,0,2,63,7.60887062919126,7410.0
random,77,122.64999999999999,3,56,480.0,6600.0,1,6,1,1,3,55,7.60887062919126,6600.0
random,78,25.799999999999997,5,65,600.0,7950.0,1,6,0,0,4,64,7.60887062919126,7950.0
random,79,22.519999999999996,22,65,2160.0,7980.0,1,5,0,0,3,61,7.60887062919126,7980.0
random,80,117.73,12,52,1380.0,6270.0,1,4,1,1,3,52,7.608870629191259,6270.0
random,81,107.8,14,21,1080.0,1950.0,1,1,1,1,1,21,7.608870629191262,1950.0
random,82,21.910000000000004,17,65,1740.0,6840.0,1,5,0,0,3,63,7.60887062919126,6840.0
random,83,27.08999999999999,4,65,330.0,7410.0,2,8,0,0,4,63,7.60887062919126,7410.0
random,84,23.659999999999993,8,65,1200.0,8340.0,2,6,0,0,4,64,7.60887062919126,8340.0
random,85,28.799999999999986,4,65,720.0,8700.0,2,13,0,0,5,64,7.60887062919126,8700.0
random,86,24.839999999999996,11,65,990.0,7410.0,2,7,0,0,4,64,7.60887062919126,7410.0
random,87,27.169999999999995,6,65,330.0,6330.0,2,8,0,0,4,63,7.60887062919126,6330.0
random,88,24.139999999999997,3,65,450.0,8610.0,2,8,0,0,7,63,7.60887062919126,8610.0
random,89,24.500000000000007,4,65,600.0,6750.0,2,6,0,0,2,63,7.60887062919126,6750.0
random,90,128.6,2,62,120.0,7650.0,2,11,1,1,5,61,7.608870629191258,7650.0
random,91,114.17,18,40,2220.0,4080.0,2,4,1,1,3,38,7.6088706291912604,4080.0
random,92,102.74000000000001,9,9,1260.0,1260.0,1,1,1,1,1,9,7.6088706291912604,1260.0
random,93,116.17,47,52,6090.0,7080.0,2,4,1,1,2,51,7.608870629191259,7080.0
random,94,117.28,13,54,1770.0,6720.0,1,3,1,1,3,54,7.608870629191258,6720.0
random,95,113.01,2,40,150.0,3990.0,1,2,1,1,2,40,7.6088706291912604,3990.0
random,96,122.94,3,63,480.0,8310.0,2,8,1,1,2,61,7.608870629191258,8310.0
random,97,118.99000000000001,4,60,450.0,6510.0,1,4,1,1,4,58,7.608870629191259,6510.0
random,98,107.23,2,22,90.0,3270.0,1,3,1,1,3,21,7.608870629191262,3270.0
random,99,18.090000000000007,4,65,930.0,8160.0,1,5,0,0,3,63,7.60887062919126,8160.0
